Product Name,Price,Rating,Number of Buyers,Total Sold,Available Stock,Main Category,Sub Category,Discount,Seller,Return Policy,Product URL,Popularity,Price_Category
Krishnamurthy-Devan Laboriosam Ultra Smartphones 10,0.5707358425005922,0.10000000000000009,0.7345079587546302,0.4785929648241206,0.07392363931762794,1,12,0.6428571428571428,6,0,https://www.flipkart.com/Krishnamurthy-Devan-Laboriosam-Ultra-Smartphones-10-5133,0.4740046214006399,0
Nanda-Mahal Dignissimos Lite Laptops 1,0.750112965445944,0.5499999999999998,0.23335669236159776,0.0835175879396985,0.029447603574329812,1,7,0.7857142857142857,3,0,https://www.flipkart.com/Nanda-Mahal-Dignissimos-Lite-Laptops-1-2413,0.19301619106098306,0
Choudhury LLC Amet Plus Decor 15,0.04714941223036551,1.0,0.07288016818500351,0.2542713567839196,0.04183590576766856,3,1,0.8285714285714285,7,1,https://www.flipkart.com/Choudhury-LLC-Amet-Plus-Decor-15-2500,0.07370002908573828,1
Borah LLC Accusantium Lite Smartphones 9,0.04321820668127475,0.8999999999999999,0.15336870557613375,0.4534673366834171,0.3218927701056052,1,12,0.0,1,0,https://www.flipkart.com/Borah-LLC-Accusantium-Lite-Smartphones-9-2737,0.14866447985004683,1
Murty Inc Placeat Pro Smartwatches 8,0.13189658363743198,0.75,0.7699469416357995,0.4899497487437186,0.21608448415922013,1,13,0.2571428571428571,5,0,https://www.flipkart.com/Murty-Inc-Placeat-Pro-Smartwatches-8-8233,0.6991241961025111,3
Verma-Pillai Ipsa Pro Refrigerators 15,0.10598608053707552,0.7000000000000002,0.7889678646511162,0.6155778894472361,0.309910641754671,0,10,0.0,4,0,https://www.flipkart.com/Verma-Pillai-Ipsa-Pro-Refrigerators-15-6587,0.7004532527550658,3
Patla-Guha Exercitationem Ultra ACs 5,0.027050998388089286,0.3999999999999999,0.6514165582140354,0.49587939698492456,0.4719740048740861,0,0,0.0,7,1,https://www.flipkart.com/Patla-Guha-Exercitationem-Ultra-ACs-5-8369,0.49934961057428173,5
Aggarwal Group Dignissimos Lite ACs 6,0.16240323657345349,0.050000000000000044,0.5588146961657824,0.8893467336683417,0.465272136474411,0,0,0.7428571428571429,1,0,https://www.flipkart.com/Aggarwal-Group-Dignissimos-Lite-ACs-6-3764,0.3492732605112626,3
Krishna-Tandon Quo Ultra Lighting 12,0.15235226299881563,0.9500000000000002,0.21313444789268193,0.38261306532663314,0.047319252640129976,3,8,0.45714285714285713,3,0,https://www.flipkart.com/Krishna-Tandon-Quo-Ultra-Lighting-12-7975,0.21086756293830589,3
Cheema and Sons Distinctio Pro Decor 1,0.037222104400709784,0.3999999999999999,0.5549104014415858,0.007738693467336684,0.004670999187652315,3,1,0.0,0,0,https://www.flipkart.com/Cheema-and-Sons-Distinctio-Pro-Decor-1-2533,0.42535872410561354,5
"Bassi, Bail and Purohit A Lite ACs 15",0.1851843940575237,0.7999999999999998,0.820902993292622,0.8457286432160804,0.15536149471974003,0,0,0.5285714285714286,5,0,"https://www.flipkart.com/Bassi,-Bail-and-Purohit-A-Lite-ACs-15-9783",0.7619736289306143,3
Hans-Naik Quis Ultra Smartphones 2,0.42853866517925154,0.75,0.28491340474521976,0.5748743718592965,0.5235580828594638,1,12,0.5714285714285714,3,0,https://www.flipkart.com/Hans-Naik-Quis-Ultra-Smartphones-2-2343,0.25874793976020427,0
Sura LLC Aperiam Plus Kitchenware 2,0.02687288759434231,0.1499999999999999,0.1702873160476524,0.2891457286432161,0.21060113728675872,3,6,0.6428571428571428,4,0,https://www.flipkart.com/Sura-LLC-Aperiam-Plus-Kitchenware-2-5605,0.11317987913259862,5
"Swaminathan, Kadakia and Narula Alias Plus Kitchenware 2",0.19701639526719955,0.3500000000000001,0.8186004605065572,0.36402010050251254,0.16165718927701056,3,6,0.0,2,0,"https://www.flipkart.com/Swaminathan,-Kadakia-and-Narula-Alias-Plus-Kitchenware-2-4866",0.6109903693888763,3
Mand-Ramesh Dolorem Pro Furniture 14,0.11236072848117667,0.44999999999999996,0.1354489938932826,0.5767839195979899,0.10398050365556458,3,3,0.8428571428571429,3,1,https://www.flipkart.com/Mand-Ramesh-Dolorem-Pro-Furniture-14-9378,0.106514397440455,3
"Suri, Chander and Acharya Dignissimos Plus Smartphones 5",0.023296377886541177,0.25,0.23305636199819801,0.798894472361809,0.062144597887896016,1,12,0.21428571428571427,0,1,"https://www.flipkart.com/Suri,-Chander-and-Acharya-Dignissimos-Plus-Smartphones-5-4728",0.16442127460168696,5
"Bansal, Karpe and Goel Ex Plus Microwaves 11",0.14870697425817217,0.7999999999999998,0.5043547902692963,0.3179899497487437,0.031072298943948008,0,9,0.42857142857142855,4,1,"https://www.flipkart.com/Bansal,-Karpe-and-Goel-Ex-Plus-Microwaves-11-6568",0.46818343405616775,3
"Mutti, Khosla and Balan Repellat Lite Shoes 8",0.10686274218510787,0.5,0.031234357793572927,0.9149748743718593,0.667140536149472,2,11,0.4714285714285714,1,0,"https://www.flipkart.com/Mutti,-Khosla-and-Balan-Repellat-Lite-Shoes-8-3822",0.02516320330931067,3
Bath PLC Fuga Lite Shoes 13,0.031389939534677926,0.75,0.928921813995395,0.09597989949748745,0.0798131600324939,2,11,0.0,6,0,https://www.flipkart.com/Bath-PLC-Fuga-Lite-Shoes-13-1356,0.8434621723814756,5
Parikh Group Nemo Ultra Lighting 4,0.0786989929994749,0.8999999999999999,0.7488237060766844,0.8601005025125628,0.6088545897644192,3,8,0.07142857142857142,0,0,https://www.flipkart.com/Parikh-Group-Nemo-Ultra-Lighting-4-7939,0.7253377177390685,1
Sama-Chaudry Nulla Plus T-Shirts 2,0.006979244953172842,0.30000000000000004,0.8329162078286115,0.5847236180904523,0.49918765231519086,2,14,0.0,4,0,https://www.flipkart.com/Sama-Chaudry-Nulla-Plus-T-Shirts-2-7806,0.6048500468603561,2
Sathe-Thakkar Velit Ultra Kitchenware 14,0.05150196463914537,0.19999999999999996,0.926519171088197,0.17869346733668343,0.0111697806661251,3,6,0.42857142857142855,1,0,https://www.flipkart.com/Sathe-Thakkar-Velit-Ultra-Kitchenware-14-2424,0.6354062308114921,1
